Время (с),A0 (В),A2 (В)
250.1510956287384,2.353,2.294
250.15509557724,2.353,2.294
250.15509557724,2.353,2.490
250.15917086601257,2.373,2.373
250.16314959526062,2.392,2.275
250.1671507358551,2.412,2.333
250.1671507358551,2.431,2.314
250.1711504459381,2.490,2.196
250.17514991760254,2.451,2.392
250.17914843559265,2.471,2.510
250.1801507472992,2.471,2.392
250.18315076828003,2.510,2.549
250.18723392486572,2.549,2.627
250.18822193145752,2.529,2.510
250.19223380088806,2.510,2.627
250.19646883010864,2.490,2.608
250.20023345947266,2.471,2.608
250.20023345947266,2.431,2.373
250.20423364639282,2.412,2.353
250.20832419395447,2.431,2.275
250.21232414245605,2.490,2.157
250.21232414245605,2.510,2.137
250.21632409095764,2.549,2.235
250.2209289073944,2.549,2.216
250.22487354278564,2.569,2.157
250.22487354278564,2.588,2.216
250.2288944721222,2.529,2.255
250.23289608955383,2.529,2.255
250.23289608955383,2.490,2.529
250.23700618743896,2.451,2.647
250.2410876750946,2.412,2.471
250.2450876235962,2.412,2.529
250.2450876235962,2.431,2.529
250.24908757209778,2.412,2.392
250.25308752059937,2.412,2.294
250.25708866119385,2.431,2.294
250.25708866119385,2.412,2.275
250.26108527183533,2.392,2.137
250.26536631584167,2.431,2.255
250.27012395858765,2.451,2.235
250.27012395858765,2.431,2.216
250.27342772483826,2.431,2.216
250.27754139900208,2.392,2.412
250.27754139900208,2.392,2.255
250.28154182434082,2.392,2.235
250.28567028045654,2.412,2.314
250.28967261314392,2.412,2.314
250.29066038131714,2.451,2.314
250.29388618469238,2.471,2.471
250.29788637161255,2.490,2.627
250.30199360847473,2.510,2.392
250.30298352241516,2.549,2.333
250.30601048469543,2.529,2.235
250.31012725830078,2.529,2.176
250.31546020507812,2.529,2.078
250.31546020507812,2.490,2.137
250.3184666633606,2.431,2.137
250.32298922538757,2.412,2.078
250.32298922538757,2.392,2.275
250.32697558403015,2.392,2.216
250.33105278015137,2.392,2.118
250.33504676818848,2.392,2.176
250.33504676818848,2.392,2.294
250.3391308784485,2.392,2.118
250.3431327342987,2.412,2.078
250.34720540046692,2.431,2.235
250.34720540046692,2.412,2.196
250.35119318962097,2.431,2.255
250.35519528388977,2.412,2.333
250.3594663143158,2.412,2.471
250.3604896068573,2.412,2.314
250.36348938941956,2.412,2.412
250.36805152893066,2.412,2.529
250.36805152893066,2.431,2.392
250.37205147743225,2.451,2.471
250.3761270046234,2.490,2.608
250.38013911247253,2.471,2.608
250.38013911247253,2.471,2.451
250.38413953781128,2.490,2.392
250.38813948631287,2.471,2.373
250.39213967323303,2.431,2.275
250.39312767982483,2.431,2.235
250.39613962173462,2.392,2.392
250.40139150619507,2.373,2.137
250.40487551689148,2.373,2.078
250.40487551689148,2.392,2.098
250.40889310836792,2.412,2.039
250.4128930568695,2.412,2.020
250.4128930568695,2.412,2.118
250.41791367530823,2.392,2.294
250.4214162826538,2.412,2.157
250.42541646957397,2.392,2.216
250.42541646957397,2.392,2.255
250.42941641807556,2.392,2.157
250.43354415893555,2.373,2.196
250.43754410743713,2.373,2.314
250.43754410743713,2.392,2.314
250.44154381752014,2.392,2.235
250.44554376602173,2.412,2.255
250.45013666152954,2.471,2.176
250.45013666152954,2.490,2.137
250.45413661003113,2.510,2.137
250.4581367969513,2.510,2.235
250.4581367969513,2.510,2.157
250.46266198158264,2.529,2.118
250.46667194366455,2.510,2.137
250.47067379951477,2.510,2.137
250.47067379951477,2.510,2.059
250.4742455482483,2.451,2.137
250.4782612323761,2.451,2.275
250.4829499721527,2.431,2.078
250.4829499721527,2.451,2.078
250.48694777488708,2.471,2.039
250.49095249176025,2.451,1.882
250.49494767189026,2.490,1.902
250.49494767189026,2.490,2.059
250.49895000457764,2.490,2.039
250.5030734539032,2.510,1.941
250.5030734539032,2.490,2.078
250.5070812702179,2.529,2.098
250.51108860969543,2.529,2.059
250.5150909423828,2.490,2.157
250.5150909423828,2.471,2.333
250.51921224594116,2.490,2.235
250.52371287345886,2.490,2.216
250.52771043777466,2.451,2.373
