Время (с),A0 (В),A2 (В)
135.5583987236023,3.569,
135.5706136226654,3.745,
135.5782630443573,3.667,
135.59026074409485,3.667,
135.59927535057068,3.392,
135.6112608909607,3.137,
135.61926078796387,2.765,
135.62725281715393,2.490,
135.63948154449463,2.137,
135.6476011276245,1.922,
135.6606001853943,1.667,
135.66861844062805,1.412,
135.68068599700928,1.255,
135.68925142288208,1.275,
135.69726967811584,1.235,
135.70977878570557,1.333,
135.71779322624207,1.451,
135.72997164726257,1.784,
135.7385745048523,1.882,
135.75069093704224,1.941,
135.75867891311646,2.059,
135.770822763443,2.176,
135.7794964313507,2.216,
135.79149627685547,2.314,
135.79950332641602,2.490,
135.8114960193634,2.608,
135.81960010528564,2.608,
135.82881808280945,2.667,
135.84081602096558,2.588,
135.84892177581787,2.490,
135.86102557182312,2.373,
135.8691680431366,2.255,
135.8811264038086,2.196,
135.8901264667511,2.333,
135.90212750434875,2.549,
135.91012620925903,2.667,
135.91825199127197,2.863,
135.9303741455078,3.078,
135.93937373161316,3.216,
135.9513738155365,3.176,
135.9593632221222,3.098,
135.9713819026947,2.980,
135.98000240325928,2.902,
135.99210047721863,2.765,
136.0000922679901,2.627,
136.0081021785736,2.569,
136.02110767364502,2.275,
136.02923607826233,1.843,
136.04123282432556,1.686,
136.04976963996887,1.686,
136.06151938438416,1.706,
136.06954288482666,1.647,
136.08228063583374,1.667,
136.09082984924316,1.941,
136.1029233932495,2.196,
136.11092352867126,2.412,
136.12317514419556,2.471,
136.13172006607056,2.627,
136.13972234725952,2.608,
136.1515543460846,2.745,
136.1597740650177,2.745,
136.1726357936859,2.804,
136.18015575408936,2.667,
136.19331884384155,2.843,
136.20152354240417,3.059,
136.2095365524292,3.216,
136.2218680381775,2.784,
136.22987461090088,2.549,
136.2418749332428,2.412,
136.24987483024597,2.608,
136.26195859909058,2.588,
136.27091336250305,2.667,
136.28248524665833,2.431,
136.29091715812683,2.471,
136.30308151245117,2.333,
136.31208086013794,2.431,
136.32430052757263,2.294,
136.33239722251892,2.451,
136.34039783477783,2.294,
136.3523976802826,2.490,
136.3604929447174,2.569,
136.3726191520691,2.804,
136.38082909584045,2.627,
136.39381742477417,2.765,
136.40181493759155,2.784,
136.41382718086243,3.039,
136.4218225479126,3.000,
136.43091988563538,3.176,
136.4430525302887,3.020,
136.45105266571045,3.137,
136.4632589817047,2.902,
136.47135758399963,3.098,
136.48344087600708,3.157,
136.49194765090942,3.529,
136.5040624141693,3.490,
136.51215600967407,3.725,
136.52509188652039,3.686,
136.53332042694092,3.667,
136.54444098472595,3.118,
136.55378580093384,2.784,
136.5617868900299,2.314,
136.57380175590515,2.059,
136.58232641220093,1.725,
136.59432673454285,1.765,
136.60232663154602,1.431,
136.6143398284912,1.725,
136.62341117858887,1.588,
136.63540363311768,1.765,
136.643413066864,1.529,
136.65540146827698,1.804,
136.66441869735718,1.647,
136.67652130126953,1.843,
136.68406653404236,1.569,
136.69306802749634,1.608,
136.70506644248962,1.333,
136.7131805419922,1.588,
136.7251799106598,1.529,
136.73425245285034,1.804,
136.7462821006775,1.686,
136.75386667251587,2.059,
136.76588439941406,1.922,
136.7740776538849,2.196,
136.78732538223267,2.020,
136.79487919807434,2.118,
136.80686593055725,2.137,
136.81587934494019,2.529,
136.82415294647217,2.549,
136.83615398406982,2.824,
136.84415411949158,2.725,
136.85615396499634,3.000,
136.8642566204071,2.882,
136.87727189064026,3.078,
136.88479709625244,2.922,
136.8938694000244,3.039,
136.90596103668213,2.784,
136.9139609336853,2.922,
136.92640328407288,2.725,
136.93433117866516,2.784,
136.94626903533936,2.510,
136.95438957214355,2.686,
136.96752643585205,2.608,
136.97552514076233,2.922,
136.98304176330566,2.863,
136.9960422515869,3.020,
137.00404286384583,2.725,
137.01604199409485,2.745,
137.0240445137024,2.431,
137.03715801239014,2.431,
137.04515624046326,2.157,
