Время (с),A0 (В),A1 (В)
56.17160701751709,1.490,
56.18375277519226,3.392,
56.19162464141846,1.824,
56.19986605644226,2.961,
56.211644649505615,1.608,
56.224754095077515,3.000,
56.23331880569458,1.725,
56.241328954696655,3.333,
56.25304579734802,1.882,
56.26156210899353,3.431,
56.27345156669617,1.706,
56.28234815597534,2.627,
56.2938928604126,1.647,
56.3029363155365,3.392,
56.31451463699341,1.863,
56.323126554489136,3.882,
56.3354434967041,2.353,
56.343706369400024,3.941,
56.355867862701416,1.784,
56.36391019821167,3.333,
56.37247943878174,1.196,
56.38498067855835,3.000,
56.39254093170166,1.275,
56.40513324737549,2.608,
56.41332030296326,0.961,
56.42567992210388,3.373,
56.43408751487732,1.686,
56.44645714759827,3.216,
56.45432949066162,1.745,
56.461901903152466,3.412,
56.474950075149536,1.569,
56.48305583000183,3.706,
56.495458364486694,1.980,
56.50358510017395,3.412,
56.515727043151855,1.922,
56.52285575866699,3.510,
56.536455154418945,1.647,
56.543965578079224,3.608,
56.55276107788086,2.039,
56.56452226638794,3.608,
56.57322978973389,1.471,
56.584758043289185,2.843,
56.59280562400818,1.392,
56.606051445007324,3.333,
56.613606214523315,1.667,
56.622175216674805,3.392,
56.63476872444153,1.706,
56.64242076873779,3.549,
56.65531873703003,1.647,
56.66289234161377,3.020,
56.675585985183716,1.667,
56.683603048324585,2.804,
56.69538068771362,1.588,
56.70339035987854,2.725,
56.716508626937866,1.941,
56.7245454788208,3.196,
56.73645639419556,1.824,
56.745156049728394,3.137,
56.75332975387573,1.745,
56.76521420478821,3.000,
56.77330493927002,1.882,
56.786482095718384,3.275,
56.7945601940155,1.961,
56.806114196777344,3.824,
56.8146448135376,2.667,
56.82707905769348,3.333,
56.83475613594055,2.255,
56.84738492965698,3.020,
56.85469341278076,2.314,
56.86826992034912,2.608,
56.87631368637085,2.294,
56.88381552696228,2.588,
56.89637756347656,1.922,
56.90493655204773,2.314,
56.916985273361206,2.706,
56.92502546310425,3.157,
56.937074422836304,2.314,
56.94611167907715,2.784,
56.9581983089447,2.765,
56.96586775779724,3.196,
56.974605083465576,2.431,
56.98717641830444,2.667,
56.99480867385864,2.294,
57.00703239440918,2.843,
57.015055894851685,1.980,
57.027193546295166,2.431,
57.03624248504639,2.196,
57.0482656955719,2.373,
57.05678129196167,1.961,
57.06494998931885,2.745,
57.07650637626648,2.725,
57.08506751060486,2.784,
57.09689807891846,2.196,
57.1046142578125,2.569,
57.117955923080444,2.471,
57.12600374221802,2.667,
57.13463497161865,2.196,
57.14654040336609,2.686,
57.15512037277222,2.333,
57.16717863082886,2.549,
57.17467522621155,2.510,
57.18745541572571,2.255,
57.19560885429382,2.510,
57.207582235336304,2.353,
57.21604943275452,2.392,
57.228134870529175,1.863,
