Время (с),A0 (В),A1 (В)
54.63676905632019,0.647,
54.64536786079407,1.000,
54.657400369644165,1.176,
54.66598176956177,1.608,
54.67452049255371,1.725,
54.686094760894775,2.176,
54.6941442489624,2.196,
54.70664310455322,2.549,
54.71526575088501,2.529,
54.72632360458374,2.902,
54.73538517951965,2.863,
54.74391794204712,3.039,
54.75604748725891,2.804,
54.76361799240112,3.039,
54.776209115982056,2.863,
54.78428673744202,2.961,
54.79736256599426,2.922,
54.80487370491028,2.961,
54.81759715080261,2.902,
54.8251850605011,2.902,
54.838239431381226,2.863,
54.84637141227722,2.882,
54.85795545578003,2.882,
54.86651873588562,2.765,
54.875059604644775,2.745,
54.88723707199097,2.980,
54.895360469818115,3.059,
54.90767168998718,3.078,
54.9157452583313,2.902,
54.92786908149719,2.745,
54.935917377471924,2.608,
54.94844079017639,2.549,
54.956953287124634,2.471,
54.96454119682312,2.471,
54.977585554122925,2.471,
54.985713481903076,2.510,
54.997437715530396,2.373,
55.00621938705444,2.255,
55.01767873764038,2.157,
55.026254653930664,2.235,
55.03890872001648,2.216,
55.046465158462524,2.137,
55.05452871322632,2.216,
55.067094564437866,2.294,
55.07512426376343,2.314,
55.08817219734192,2.392,
55.09623122215271,2.451,
55.107831716537476,2.510,
55.11685371398926,2.529,
55.1289598941803,2.490,
55.136961221694946,2.588,
55.149192094802856,2.529,
55.15678071975708,2.549,
55.16944336891174,2.510,
55.17824912071228,2.627,
55.186238527297974,2.529,
55.198315143585205,2.549,
55.20684266090393,2.451,
55.21838402748108,2.510,
55.22695708274841,2.431,
55.23957824707031,2.529,
55.24738907814026,2.431,
55.25567603111267,2.549,
55.26793694496155,2.549,
55.27604913711548,2.667,
55.28862977027893,2.490,
55.29673624038696,2.549,
55.30944585800171,2.569,
55.31697177886963,2.686,
55.329655170440674,2.510,
55.33718013763428,2.510,
55.35034370422363,2.529,
55.357391357421875,2.667,
55.37023663520813,2.510,
55.37879991531372,2.412,
55.38628435134888,2.314,
55.398616313934326,2.412,
55.40718746185303,2.431,
55.41981315612793,2.549,
55.42784547805786,2.471,
55.440375566482544,2.471,
55.447981119155884,2.451,
55.46099019050598,2.510,
55.46894979476929,2.431,
55.47700619697571,2.451,
55.48955035209656,2.314,
55.49748778343201,2.412,
55.509896993637085,2.529,
55.51806592941284,2.529,
55.53008723258972,2.451,
55.53867149353027,2.529,
55.550222635269165,2.392,
55.558836698532104,2.373,
55.571500301361084,2.216,
55.57909417152405,2.255,
55.59199857711792,2.196,
55.59965634346008,2.255,
55.60834050178528,2.314,
55.619898319244385,2.431,
55.62895369529724,2.373,
55.64121174812317,2.431,
55.64948225021362,2.549,
55.661518573760986,2.412,
55.669777154922485,2.373,
55.68197679519653,2.392,
55.68951916694641,2.392,
55.70250201225281,2.373,
55.7100510597229,2.451,
55.72313928604126,2.412,
55.73166275024414,2.490,
55.738710165023804,2.471,
55.7517466545105,2.471,
55.75976490974426,2.510,
55.771843671798706,2.569,
55.78035640716553,2.412,
55.79244780540466,2.529,
55.800530433654785,2.627,
55.8126220703125,2.627,
55.82071805000305,2.529,
55.83332014083862,2.569,
55.84183168411255,2.529,
55.854283809661865,2.451,
55.86235857009888,2.490,
55.86990189552307,2.490,
55.882007360458374,2.549,
55.89056849479675,2.451,
55.90330457687378,2.490,
55.91036796569824,2.471,
55.923967123031616,2.490,
55.93202543258667,2.588,
55.9395432472229,2.686,
55.95159196853638,2.765,
55.96065831184387,2.784,
55.972748041152954,2.647,
55.981027603149414,2.627,
55.99322986602783,2.588,
56.00076723098755,2.431,
56.013893127441406,2.490,
56.02195954322815,2.529,
56.02901005744934,2.471,
56.042574405670166,2.431,
56.050617694854736,2.353,
56.06232786178589,2.353,
56.07032871246338,2.392,
56.08357238769531,2.412,
56.09114742279053,2.392,
56.10399866104126,2.353,
56.111565589904785,2.314,
56.120272397994995,2.392,
56.131856203079224,2.451,
56.14046049118042,2.412,
56.15304970741272,2.294,
